county,carb_em
Alameda County,0.013727576
Alpine County,0
Amador County,0.004029015
Butte County,0
Calaveras County,0
Clark County,0
Colusa County,0
Contra Costa County,0.033763487
El Dorado County,0.11842397
Esmeralda County,0.016680094
Fresno County,0.029819201
Glenn County,0.008081437
Humboldt County,0.013702878
Imperial County,0.04515358
Inyo County,0.011519687
Josephine County,0
Kern County,0.111873552
Kings County,0
Klamath County,0
La Paz County,0.67635246
Lake County,0.020923507
Lassen County,0.001802569
Los Angeles County,0.014265756
Madera County,0
Maricopa County,0
Marin County,0
Mariposa County,0
Mendocino County,0.023214232
Merced County,0.066082193
Modoc County,0
Mono County,0.010541678
Monterey County,0.075695
Municipio de Mexicali County,0
Municipio de Tijuana County,0
Napa County,0.038059732
Nevada County,0
Orange County,0.00289921
Placer County,0
Plumas County,0
Riverside County,0.04341791
Sacramento County,0.07202863
San Benito County,0.916756964
San Bernardino County,0.046576262
San Diego County,0.020544166
San Francisco County,0
San Joaquin County,0.036823151
San Luis Obispo County,0
San Mateo County,0
Santa Barbara County,0
Santa Clara County,0.015874829
Santa Cruz County,0
Shasta County,0.03018301
Sierra County,0
Siskiyou County,0.026595646
Solano County,0.026380052
Sonoma County,0.02528383
Stanislaus County,0.048988968
Sutter County,0
Tehama County,0.014284489
Trinity County,0.04068517
Tulare County,0.035896062
Tuolumne County,0
Ventura County,0.007441924
Yolo County,0
Yuba County,0
Yuma County,0
