county,NAMELSAD
Alameda County,0.013890075
Alpine County,0
Amador County,0.004031296
Butte County,0
Calaveras County,0
Clark County,0
Colusa County,0
Contra Costa County,0.034495157
El Dorado County,0.106240954
Esmeralda County,0
Fresno County,0.030101478
Glenn County,0.008081908
Humboldt County,0.013709765
Imperial County,0.048703972
Inyo County,0.005044807
Josephine County,0
Kern County,0.072059915
Kings County,0.000513968
Klamath County,0
La Paz County,0.67635246
Lake County,0.020923507
Lassen County,0.001802569
Los Angeles County,0.023768413
Madera County,0.00021182
Maricopa County,0
Marin County,0
Mariposa County,0
Mendocino County,0.023214232
Merced County,0.0427327
Modoc County,0
Mono County,0.034252673
Monterey County,0.120423769
Municipio de Mexicali County,0.01554286
Municipio de Tijuana County,0
Napa County,0.038059732
Nevada County,0
Orange County,0.002716775
Placer County,0
Plumas County,0
Riverside County,0.049909245
Sacramento County,0.071996139
San Benito County,0.759782299
San Bernardino County,0.047028096
San Diego County,0.023087207
San Francisco County,0
San Joaquin County,0.036823151
San Luis Obispo County,0.001760014
San Mateo County,0.003165527
Santa Barbara County,0
Santa Clara County,0.022543335
Santa Cruz County,0.031012845
Shasta County,0.030197394
Sierra County,0
Siskiyou County,0.026610704
Solano County,0.029440934
Sonoma County,0.02528383
Stanislaus County,0.048988967
Sutter County,0
Tehama County,0.0142868
Trinity County,0.040707451
Tulare County,0.035916036
Tuolumne County,0
Ventura County,0.007441924
Yolo County,0
Yuba County,0
Yuma County,0.03363527
